Id	Property_id	Year	Revenue	Net_Income ($)
111	28	2023	580000	254000
112	28	2024	600000	264000
113	29	2021	545000	237000
114	29	2022	565000	247000
115	29	2023	585000	257000
116	29	2024	605000	267000
117	30	2021	550000	240000
118	30	2022	570000	250000
119	30	2023	590000	260000
120	30	2024	610000	270000
121	31	2021	555000	243000
122	31	2022	575000	253000
123	31	2023	595000	263000
124	31	2024	615000	273000
125	32	2021	560000	246000
126	32	2022	580000	256000
127	32	2023	600000	266000
128	32	2024	620000	276000
129	33	2021	565000	249000
130	33	2022	585000	259000
131	33	2023	605000	269000
132	33	2024	625000	279000
133	34	2021	570000	252000
134	34	2022	590000	262000
135	34	2023	610000	272000
136	34	2024	630000	282000
137	35	2021	575000	255000
138	35	2022	595000	265000
139	35	2023	615000	275000
140	35	2024	635000	285000
141	36	2021	580000	258000
142	36	2022	600000	268000
143	36	2023	620000	278000
144	36	2024	640000	288000
145	37	2021	585000	261000
146	37	2022	605000	271000
147	37	2023	625000	281000
148	37	2024	645000	291000
149	38	2021	590000	264000
150	38	2022	610000	274000
151	38	2023	630000	284000
152	38	2024	650000	294000
153	39	2021	595000	267000
154	39	2022	615000	277000
155	39	2023	635000	287000
156	39	2024	655000	297000
157	40	2021	600000	270000
158	40	2022	620000	280000
159	40	2023	640000	290000
160	40	2024	660000	300000
161	41	2021	605000	273000
162	41	2022	625000	283000
163	41	2023	645000	293000
164	41	2024	665000	303000
165	42	2021	610000	276000
166	42	2022	630000	286000
167	42	2023	650000	296000
168	42	2024	670000	306000
169	43	2021	615000	279000
170	43	2022	635000	289000
171	43	2023	655000	299000
172	43	2024	675000	309000
173	44	2021	620000	282000
174	44	2022	640000	292000
175	44	2023	660000	302000
176	44	2024	680000	312000
177	45	2021	625000	285000
178	45	2022	645000	295000
179	45	2023	665000	305000
180	45	2024	685000	315000
181	46	2021	630000	288000
182	46	2022	650000	298000
183	46	2023	670000	308000
184	46	2024	690000	318000
185	47	2021	635000	291000
186	47	2022	655000	301000
187	47	2023	675000	311000
188	47	2024	695000	321000
189	48	2021	640000	294000
190	48	2022	660000	304000
191	48	2023	680000	314000
192	48	2024	700000	324000
193	49	2021	645000	297000
194	49	2022	665000	307000
195	49	2023	685000	317000
196	49	2024	705000	327000
197	50	2021	650000	300000
198	50	2022	670000	310000
199	50	2023	690000	320000
200	50	2024	710000	330000
201	51	2021	655000	303000
202	51	2022	675000	313000
203	51	2023	695000	323000
204	51	2024	715000	333000
205	52	2021	660000	306000
206	52	2022	680000	316000
207	52	2023	700000	326000
208	52	2024	720000	336000
209	53	2021	665000	309000
210	53	2022	685000	319000
211	53	2023	705000	329000
212	53	2024	725000	339000
213	54	2021	670000	312000
214	54	2022	690000	322000
215	54	2023	710000	332000
216	54	2024	730000	342000
217	55	2021	675000	315000
218	55	2022	695000	325000
219	55	2023	715000	335000
220	55	2024	735000	345000
221	56	2021	680000	318000
222	56	2022	700000	328000
223	56	2023	720000	338000
224	56	2024	740000	348000
225	57	2021	685000	321000
226	57	2022	705000	331000
227	57	2023	725000	341000
228	57	2024	745000	351000
229	58	2021	690000	324000
230	58	2022	710000	334000
231	58	2023	730000	344000
232	58	2024	750000	354000
233	59	2021	695000	327000
234	59	2022	715000	337000
235	59	2023	735000	347000
236	59	2024	755000	357000
237	60	2021	700000	330000
238	60	2022	720000	340000
239	60	2023	740000	350000
240	60	2024	760000	360000
241	61	2021	705000	333000
242	61	2022	725000	343000
243	61	2023	745000	353000
244	61	2024	765000	363000
245	62	2021	710000	336000
246	62	2022	730000	346000
247	62	2023	750000	356000
248	62	2024	770000	366000
249	63	2021	715000	339000
250	63	2022	735000	349000
251	63	2023	755000	359000
252	63	2024	775000	369000
253	64	2021	720000	342000
254	64	2022	740000	352000
255	64	2023	760000	362000
256	64	2024	780000	372000
257	65	2021	725000	345000
258	65	2022	745000	355000
259	65	2023	765000	365000
260	65	2024	785000	375000
261	66	2021	730000	348000
262	66	2022	750000	358000
263	66	2023	770000	368000
264	66	2024	790000	378000
265	67	2021	735000	351000
266	67	2022	755000	361000
267	67	2023	775000	371000
268	67	2024	795000	381000
269	68	2021	740000	354000
270	68	2022	760000	364000
271	68	2023	780000	374000
272	68	2024	800000	384000
273	69	2021	745000	357000
274	69	2022	765000	367000
275	69	2023	785000	377000
276	69	2024	805000	387000
277	70	2021	750000	360000
278	70	2022	770000	370000
279	70	2023	790000	380000
280	70	2024	810000	390000
281	71	2021	755000	363000
282	71	2022	775000	373000
283	71	2023	795000	383000
284	71	2024	815000	393000
285	72	2021	760000	366000
286	72	2022	780000	376000
287	72	2023	800000	386000
288	72	2024	820000	396000
289	73	2021	765000	369000
290	73	2022	785000	379000
291	73	2023	805000	389000
292	73	2024	825000	399000
293	74	2021	770000	372000
294	74	2022	790000	382000
295	74	2023	810000	392000
296	74	2024	830000	402000
297	75	2021	775000	375000
298	75	2022	795000	385000
299	75	2023	815000	395000
300	75	2024	835000	405000
301	76	2021	780000	378000
302	76	2022	800000	388000
303	76	2023	820000	398000
304	76	2024	840000	408000
305	77	2021	785000	381000
306	77	2022	805000	391000
307	77	2023	825000	401000
308	77	2024	845000	411000
309	78	2021	790000	384000
310	78	2022	810000	394000
311	78	2023	830000	404000
312	78	2024	850000	414000
313	79	2021	795000	387000
314	79	2022	815000	397000
315	79	2023	835000	407000
316	79	2024	855000	417000
317	80	2021	800000	390000
318	80	2022	820000	400000
319	80	2023	840000	410000
320	80	2024	860000	420000
321	81	2021	805000	393000
322	81	2022	825000	403000
323	81	2023	845000	413000
324	81	2024	865000	423000
325	82	2021	810000	396000
326	82	2022	830000	406000
327	82	2023	850000	416000
328	82	2024	870000	426000
329	83	2021	815000	399000
330	83	2022	835000	409000
331	83	2023	855000	419000
332	83	2024	875000	429000
333	84	2021	820000	402000
334	84	2022	840000	412000
335	84	2023	860000	422000
336	84	2024	880000	432000
337	85	2021	825000	405000
338	85	2022	845000	415000
339	85	2023	865000	425000
340	85	2024	885000	435000
341	86	2021	830000	408000
342	86	2022	850000	418000
343	86	2023	870000	428000
344	86	2024	890000	438000
345	87	2021	835000	411000
346	87	2022	855000	421000
347	87	2023	875000	431000
348	87	2024	895000	441000
349	88	2021	840000	414000
350	88	2022	860000	424000
351	88	2023	880000	434000
352	88	2024	900000	444000
353	89	2021	845000	417000
354	89	2022	865000	427000
355	89	2023	885000	437000
356	89	2024	905000	447000
357	90	2021	850000	420000
358	90	2022	870000	430000
359	90	2023	890000	440000
360	90	2024	910000	450000
361	91	2021	855000	423000
362	91	2022	875000	433000
363	91	2023	895000	443000
364	91	2024	915000	453000
365	92	2021	860000	426000
366	92	2022	880000	436000
367	92	2023	900000	446000
368	92	2024	920000	456000
369	93	2021	865000	429000
370	93	2022	885000	439000
371	93	2023	905000	449000
372	93	2024	925000	459000
373	94	2021	870000	432000
374	94	2022	890000	442000
375	94	2023	910000	452000
376	94	2024	930000	462000
377	95	2021	875000	435000
378	95	2022	895000	445000
379	95	2023	915000	455000
380	95	2024	935000	465000
381	96	2021	880000	438000
382	96	2022	900000	448000
383	96	2023	920000	458000
384	96	2024	940000	468000
385	97	2021	885000	441000
386	97	2022	905000	451000
387	97	2023	925000	461000
388	97	2024	945000	471000
389	98	2021	890000	444000
390	98	2022	910000	454000
391	98	2023	930000	464000
392	98	2024	950000	474000
393	99	2021	895000	447000
394	99	2022	915000	457000
395	99	2023	935000	467000
396	99	2024	955000	477000
397	100	2021	900000	450000
398	100	2022	920000	460000
399	100	2023	940000	470000
400	100	2024	960000	480000
