Property_id,Property_Name,Property_Address,Metro_Area,Square_Foot (SF),Property_Type
57,Prologis Mountain View Industrial Park 16,NWC Slover Avenue & Cypress Avenue,Fontana,614520,Spec Building
58,Prologis I-15 Speedway Logistics Center 1,5835 E Ann Road,North Las Vegas,525200,Building
59,Prologis International Park of Commerce Building 28,5390 Promontory Parkway,Tracy,524081,Building
60,Prologis Moreno Valley Logistics Center 4,"22750 Cactus Avenue,",Moreno Valley,522772,Building
61,Prologis Lathrop 6,1850 E. Louise Avenue,Lathrop,519244,Building
62,Prologis Oakland 4,7230-7240 Edgewater,Oakland,240808,Building
63,Prologis International Park of Commerce Building 16,5051 Promontory Parkway,Tracy,450846,Building
64,Prologis Alameda Crossing,1526 E. 7th Street,Los Angeles,450000,Building
65,Prologis Torrance Distribution Center 8,1452 W. Knox Street,Torrance,442550,Building
66,Chino Industrial Center 10,13799 Monte Vista Avenue,Chino,421031,Building
67,Loop 303 Bldg 2,4790 North Cotton Lane,Goodyear,404415,Spec Building
68,Prologis Tracy 14,1150 East Arbor Avenue,Tracy,555531,Building
69,Prologis Stockton 10,4601 Newcastle Road,Stockton,388183,Building
70,Prologis Anaheim Distribution Center 3,2872 E. La Palma St.,Anaheim,187520,Building
71,Prologis Park Stockton 5,4512 Frontier Way,Stockton,351788,Building
72,Prologis Airpark Logistics Center Bldg 2,1395 South Bullard Avenue,Goodyear,336588,Building
73,Prologis Perris Distribution Center 9,23840 Rider Street,Perris,330735,Building
74,Airport Distribution Center 1,15755 E 32nd Avenue,Aurora,108820,Building
75,Prologis Sierra Business Park 3,10730 Production Avenue,Fontana,320990,Building
76,Prologis San Bernardino Distribution Center 3,520 East Orange Show Road,San Bernardino,318989,Building
77,Prologis Speedway Logistics Center 11,6250 East Washburn Road,Las Vegas,309278,Building
78,Cornerstone Bldg 1,1710 Cornerway Blvd,San Antonio,306000,Building
79,Prologis South San Jose 1,5853 Rue Ferrari,San Jose,302772,Building
80,Prologis Redlands Distribution Center 20,1898 Marigold Avenue,Redlands,289683,Building
81,Centro Industrial Juarez #3,Av. Miguel de la Madrid 1136,Juarez,283243,Spec Building
82,Prologis South Bay Distribution Center 20,2201 E. Dominguez Street,Carson,272910,Building
83,Prologis Sunrise Industrial Park 5,2861 North Marion Drive,Las Vegas,271616,Building
84,Prologis Nexus,1345 Doolittle Drive,San Leandro,266000,Building
85,Cheyenne Distribution Center 5 & 6,N. Lamb Blvd & Alto Avenue,Las Vegas,2613600,Build-to-suit
86,Sandy Logistics Center,4570 NE 122nd Avenue,Portland,259835,Building
87,Prologis Park Vancouver 1,3204 NW 38th Circle,Vancouver,259148,Building
88,Prologis North County DC 3,2501 E Orangethorpe Ave,Fullerton,229422,Building
89,North County DC 3,2501 E Orangethorpe Ave,Fullerton,229422,Building
90,Prologis Mid Counties Distribution Center 8,16400 Trojan Way,La Mirada,220000,Building
91,Prologis Redlands Distribution Center 16,"26759 Almond Avenue,",Redlands,218326,Building
92,Prologis San Leandro 33,880 Doolittle Drive,San Leandro,218000,Building
93,Prologis Park Clackamas,10500 SE Jennifer St.,Clackamas,2178000,Build-to-suit
94,Prologis PDX 20,19295-19375 NE Riverside Pkwy,Gresham,207800,Building
95,Prologis Torrance Distribution Center 9,1580 Francisco Street,Torrance,199927,Building
96,Prologis Sunrise Industrial Park 6,2821 N Marion Drive,Las Vegas,24546,Building
97,Rancho Cucamonga Distribution Center 1,"8449 Milliken Avenue,",Rancho Cucamonga,186960,Building
98,Prologis Stockton 11,4733 Newcastle Road,Stockton,186944,Building
99,Prologis Sierra Business Park 2,"10725 Sierra Avenue,",Fontana,167370,Building
100,Speedway North Bldg 2,6052 E. North Belt Rd,North Las Vegas,181910,Spec Building
